41,93,14255,24376,4716,4297,691965,25114,1701,2998
40,94,26582,27859,5953,5658,721696,32487,2821,430
41,100,42794,133014,13614,23093,227570,107755,11761,2607
43,96,16604,34210,10855,4789,1183283,38467,1714,1191
44,91,13515,54619,9849,14262,670128,80825,1140,1088
40,66,30640,33370,38632,21418,709939,474770,10241,6505
47,66,34643,63730,15269,27655,237302,33076,9080,3789
47,74,21808,213651,6419,20159,36674,106979,9536,7436
43,78,5651,184910,24882,19002,722808,146319,7241,2529
48,100,31861,199164,76570,20364,1196412,58031,9832,4331
47,100,24297,77386,21216,25711,444402,69521,5572,7667
43,97,31683,21523,3139,3405,60955,27207,2282,1490
41,100,3811,13084,1165,1008,353927,6985,333,516
35,100,40817,335415,36673,13885,2061350,104982,10734,3214
26,100,53388,207953,19421,17582,711853,55892,6966,4473
27,100,2534,16435,8723,4925,425108,69682,1678,2258
24,87,37699,134203,29873,17709,1986650,409862,6866,9607
34,75,16408,17310,4724,4903,176427,37415,6362,1625
34,64,66931,45488,24215,12081,784321,68652,14822,4592
44,78,42176,59683,40871,32348,308560,56842,11193,5618
56,83,51204,65274,14523,33596,1000434,145871,10990,7470
53,74,52395,28737,32632,14153,508683,211403,8125,9822
56,69,29426,139582,16533,28431,654660,164488,6241,4212
44,83,23665,40268,3059,4103,141322,12166,2792,794
35,74,15825,59830,29193,13063,1924676,246936,6889,6313
38,81,15949,20066,4324,5530,168698,39628,1780,1102
47,83,57821,23085,13015,25723,1479247,31048,19728,6675
51,74,6039,112598,8857,18100,457288,70651,7680,5427
50,94,170332,74864,31672,9837,286381,61811,11545,3415
54,93,31096,80981,30238,30315,587159,128957,18020,3964
47,90,14950,57483,22386,13282,799487,69609,5659,1908
48,90,9399,102135,19900,17929,795062,47434,13926,6154
57,88,22832,223147,21370,36835,2021721,59975,9120,10359
54,93,9572,26308,2845,5345,123184,27642,1818,801
61,96,42697,26933,8354,20823,446172,52518,11691,9252
67,88,23117,34327,21835,26029,179019,48082,9939,4195
63,80,8650,28423,5537,4024,123944,26313,998,1191
60,91,165149,151957,10287,18699,2617673,66970,12100,2788
38,96,18336,393035,14143,10482,2270060,211433,7053,2499
30,83,13608,14982,21245,18011,71459,135282,13517,10105
41,67,18621,21374,8895,30775,1069119,132252,12146,4125
47,63,58598,20781,12150,9912,74739,14143,9130,2645
54,67,37934,268296,35347,14850,2241628,62685,6694,2931
48,81,38622,32662,26051,7700,216965,83060,14673,5429
37,100,62767,76756,35250,8491,638040,52316,7032,4036
34,90,2263,18140,6504,2594,705783,18491,1417,1846
38,90,28437,26293,2721,5291,86849,11946,5637,1276
40,94,42270,126691,21170,16684,323549,118415,14999,4205
51,84,34850,20579,16400,20805,304382,60809,12987,6897
51,81,3637,3117,1043,1243,48761,11619,479,271
47,66,35347,56099,36966,8611,540339,104867,15710,5856
60,61,9047,41144,19572,20610,538875,38847,11163,11367
53,75,109155,171832,9193,30266,859373,90273,7934,3478
54,78,13195,12535,4606,4327,770108,27230,1111,738
47,69,10307,6123,3742,1634,219734,61273,1713,978
43,78,53421,50995,10071,23339,1315473,30574,14127,3983
37,74,9556,40099,2960,3317,122077,27134,3270,879
26,67,73399,87411,38096,12926,856121,332638,11679,4604
30,80,10123,42540,2327,4314,734698,61092,1488,930
21,69,17430,86020,12868,12349,274037,150377,10194,8382
